repe_name,verify
daijro/camoufox,none
sonicdcer/MarioKart64Recomp,none
kscalelabs/ksim-gym,none
chipsalliance/t1,none
portapack-mayhem/mayhem-firmware,none
jasonwalsh/awesome-dapps,none
localsend/localsend,none
meshcore-dev/MeshCore,none
jing332/tts-server-android,none
qdrant/qdrant,none
xiaoyaocz/flutter_dmzj,none
yujincheng08/BiliRoaming,none
stas-sl/esphome-sound-level-meter,none
CCBlueX/LiquidBounce,none
NixOS/nixpkgs,none
OpenHub-Store/GitHub-Store,none
xuhao1/FOXTracker,none
posquit0/dotfiles,none
GaloisInc/parameterized-utils,none
LinkedInLearning/advanced-terraform-3099246,none
vivek-nexus/transcriptonic,none
TheGreatRambler/SwiTAS,none
jxnblk/mdx-deck,none
CraftTweaker/CraftTweaker,none
joy-of-react/project-toast,none
darkreader/darkreader,none
wolandark/bash-dungeon,none
samuelrince/awesome-green-ai,none
milanm/DotNet-Developer-Roadmap,none
HasangerGames/suroi-wiki,none
lowRISC/ibex,none
basecamp/fizzy,none
osfans/trime,none
api-platform/api-platform,none
FactorioBlueprints/factorio-prints,none
jowilf/sqlalchemy-file,none
mytonwallet-org/mytonwallet,none
MapsterMapper/Mapster,none
twilio/twilio-oai,none
umeshshinde19/instainsane,none
daimajia/huntscreens,none
ruven/iipsrv,none
arogozhnikov/einops,none
Barski-lab/cwl-airflow,none
arturo-lang/autom8,none
benbalter/github-mention-highlighter,none
ssg/eksi-yedek,none
cranksters/playdate-reverse-engineering,none
google-gemini/gemini-cli,none
test-prof/test-prof,none
deuxfleurs-org/garage,none
cuberite/cuberite,none
DataDog/documentation,none
openui/open-ui,none
nestjs/awesome-nestjs,none
epam/statgpt,none
Crutiatix/TICuare,none
fum1h1ro/PlaydateRustTemplate,none
centreon/centreon-plugins,none
mostafa/xk6-kafka,none
pewpewlive/hybroid-live,none
lucays/OCG-Rule-documentation,none
apache/datafusion,none
YT-Advanced/WSA-Script,none
azukaar/Cosmos-Server,none
reactiveui/ReactiveUI.Samples,none
getomni/omni,none
TencentCloud/tencentcloud-sdk-nodejs,none
wordpress-mobile/WordPress-Android,none
elysiajs/elysia,none
HigherOrderCO/HVM3,none
skoolkid/skoolkit,none
LIKO-12/liko-12.github.io,none
PyFarsi/pyabr,none
jwohlwend/boltz,none
deepmodeling/deepmd-kit,none
Kotlin/kotlin-lsp,none
Leafpub/leafpub,none
ThePrimeagen/.dotfiles,none
kylechui/nvim-surround,none
purescript/spago,none
YuzukiTsuru/lessampler,none
zhangchenchen/self-consistent-coder,none
marceloprates/prettymaps,none
zsa/wally,none
reflex-frp/reflex-todomvc,none
alex566/Match3Kit,none
umaranis/svelte-lexical,none
anthropics/prompt-eng-interactive-tutorial,none
algora-io/tv,none
hauptrolle/stitches-reset,none
hyperium/tonic,none
wshobson/agents,none
libgit2/libgit2,none
lnferris/ocean_data_tools,none
octoshrimpy/quik,none
ProjectSkyfire/SkyFire_one,none
BitMaker-hub/NerdMiner_v2,none
termux/termux-packages,none
OHF-Voice/piper1-gpl,none
cefjoeii/mern-crud,none
Syknapse/Contribute-To-This-Project,none
dotenv-linter/dotenv-linter,none
vercel/ai-chatbot-svelte,none
apache/paimon,none
SpartnerNL/Laravel-Excel,none
Humpheh/goboy,none
DirectorySurf/awesome-launch-platforms,none
Lymphatus/caesium-image-compressor,none
astrochili/vscode-defold,none
alyssaxuu/omni,none
rime/home,none
krushndayshmookh/whisp,none
rfvgyhn/min-ed-launcher,none
micro/blog,none
MCDFsteve/NipaPlay-Reload,none
Hussseinkizz/serato-css,none
fawazahmed0/Latest-adb-fastboot-installer-for-windows,none
guozhigq/pilipala,none
zeldaret/tp,none
maxdorninger/MediaManager,none
cschneegans/unattend-generator,none
josefs/Gradualizer,none
racket/racket,none
picocss/pico,none
dotnetcore/BootstrapBlazor,none
nartc/nest-mean,none
dbeaver/dbeaver,none
TwrpBuilder/twrpbuilder_tree_generator,none
vfsfitvnm/ViMusic,none
lapce/lapce,none
umodoc/editor,none
lamarios/clipious,none
mahmoodlab/MMP,none
finos/openfin-react-hooks,none
YumYummity/Guilded-Bot-Template,none
Azure/azure-mcp,none
